Destination Port,20005,,,,20004,,,,,,,,,,,,,,,,,,65010,,20003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20014,,20002,,,,,,,,,,,,,,,,,,20013,,20012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,20006,,20051,,20050,,
Application ID,1,IP:  Port: ,4,IP:  Port: ,1,IP:  Port: ,3,IP:  Port: ,11,IP:  Port: ,13,IP:  Port: ,201,IP:  Port: ,203,IP:  Port: ,205,IP:  Port: ,207,IP:  Port: ,4,IP:  Port: ,-1,IP:  Port: ,1,IP:  Port: ,3,IP:  Port: ,11,IP:  Port: ,13,IP:  Port: ,201,IP:  Port: ,203,IP:  Port: ,205,IP:  Port: ,207,IP:  Port: ,101,IP:  Port: ,102,IP:  Port: ,103,IP:  Port: ,104,IP:  Port: ,105,IP:  Port: ,106,IP:  Port: ,107,IP:  Port: ,108,IP:  Port: ,109,IP:  Port: ,110,IP:  Port: ,111,IP:  Port: ,112,IP:  Port: ,113,IP:  Port: ,114,IP:  Port: ,115,IP:  Port: ,116,IP:  Port: ,117,IP:  Port: ,120,IP:  Port: ,4,IP:  Port: ,1602,IP:  Port: ,1,IP:  Port: ,3,IP:  Port: ,11,IP:  Port: ,13,IP:  Port: ,201,IP:  Port: ,203,IP:  Port: ,205,IP:  Port: ,207,IP:  Port: ,4,IP:  Port: ,1602,IP:  Port: ,1602,IP:  Port: ,1604,IP:  Port: ,1608,IP:  Port: ,1614,IP:  Port: ,1616,IP:  Port: ,1622,IP:  Port: ,1626,IP:  Port: ,1628,IP:  Port: ,1632,IP:  Port: ,1638,IP:  Port: ,1642,IP:  Port: ,1644,IP:  Port: ,1650,IP:  Port: ,1652,IP:  Port: ,1656,IP:  Port: ,1662,IP:  Port: ,1664,IP:  Port: ,1670,IP:  Port: ,1674,IP:  Port: ,1676,IP:  Port: ,1,IP:  Port: ,3,IP:  Port: ,11,IP:  Port: ,13,IP:  Port: ,201,IP:  Port: ,203,IP:  Port: ,205,IP:  Port: ,207,IP:  Port: ,101,IP:  Port: ,102,IP:  Port: ,103,IP:  Port: ,104,IP:  Port: ,105,IP:  Port: ,106,IP:  Port: ,107,IP:  Port: ,108,IP:  Port: ,109,IP:  Port: ,110,IP:  Port: ,111,IP:  Port: ,112,IP:  Port: ,113,IP:  Port: ,114,IP:  Port: ,115,IP:  Port: ,116,IP:  Port: ,117,IP:  Port: ,120,IP:  Port: ,4,IP:  Port: ,1602,IP:  Port: ,1604,IP:  Port: ,1608,IP:  Port: ,1614,IP:  Port: ,1616,IP:  Port: ,1622,IP:  Port: ,1626,IP:  Port: ,1628,IP:  Port: ,1632,IP:  Port: ,1638,IP:  Port: ,1642,IP:  Port: ,1644,IP:  Port: ,1650,IP:  Port: ,1652,IP:  Port: ,1656,IP:  Port: ,1662,IP:  Port: ,1664,IP:  Port: ,1670,IP:  Port: ,1674,IP:  Port: ,1676,IP:  Port: ,1999,IP:  Port: ,-1,IP:  Port: ,1,IP:  Port: ,3,IP:  Port: ,3,IP:  Port: ,
MRU11,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU12,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU13,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU14,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU15,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU16,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU17,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU18,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU19,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU20,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU21,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU22,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU23,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU24,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU25,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU26,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU27,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
MRU28,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,False,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,,True,,False,,False,,False,,
